id,situation,version,groupId,artifactId,release_date,is_updated,justification
62,latest pom version,1.1.1,org.apache.geronimo.specs,geronimo-jms_1.1_spec,2008-02-06 20:26:55,true,Using the latest available version.
63,current pom version,1.0-alpha-2,org.apache.geronimo.specs,geronimo-jms_2.0_spec,2015-02-12 12:35:19,true,Using the latest available version.
63,latest pom version,1.0-alpha-2,org.apache.geronimo.specs,geronimo-jms_2.0_spec,2015-02-12 12:35:19,true,Using the latest available version.
64,current pom version,9.4.49.v20220914,org.eclipse.jetty,jetty-server,2022-09-13 21:08:43,true,patch
64,latest pom version,12.0.0.alpha2,org.eclipse.jetty,jetty-server,2022-10-17 21:14:48,true,patch
65,current pom version,9.4.49.v20220914,org.eclipse.jetty,jetty-servlet,2022-09-13 21:09:17,true,Using the latest available version.
65,latest pom version,11.0.12,org.eclipse.jetty,jetty-servlet,2022-09-13 22:40:14,true,Using the latest available version.
66,current pom version,9.4.49.v20220914,org.eclipse.jetty,jetty-servlets,2022-09-13 21:10:23,true,Using the latest available version.
66,latest pom version,11.0.12,org.eclipse.jetty,jetty-servlets,2022-09-13 22:40:45,true,Using the latest available version.
67,current pom version,9.4.49.v20220914,org.eclipse.jetty.websocket,websocket-server,2022-09-13 21:12:09,true,Using the latest available version.
67,latest pom version,9.4.49.v20220914,org.eclipse.jetty.websocket,websocket-server,2022-09-13 21:12:09,true,Using the latest available version.
68,current pom version,9.4,org.ow2.asm,asm,2022-10-02 03:17:11.826000,true,Using the latest available version.
68,latest pom version,9.4,org.ow2.asm,asm,2022-10-02 03:17:11.826000,true,Using the latest available version.
69,current pom version,9.4,org.ow2.asm,asm-tree,2022-10-02 03:17:22.690000,true,Using the latest available version.
69,latest pom version,9.4,org.ow2.asm,asm-tree,2022-10-02 03:17:22.690000,true,Using the latest available version.
70,current pom version,1.4,velocity,velocity,2016-01-01 19:51:34,false,Not updated recently and stable but the project uses old dependency
70,latest pom version,1.5-beta2,velocity,velocity,2016-04-14 11:22:48,false,Not updated recently and stable but the project uses old dependency
71,current pom version,1.4,velocity,velocity-dep,2016-01-01 19:51:35,false,Not updated recently and stable but the project uses old dependency
